"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"making full use",75.880,2,28,83.759,0.118
"technical content",75.010,2,31,83.759,0.130
"much harm",73.380,2,37,83.759,0.156
"distribution service",70.570,2,48,83.759,0.202
"free beer",68.630,2,56,83.759,0.236
"reverse engineering",68.130,2,58,83.759,0.244
"total tax",65.500,2,70,83.759,0.295
"clear example",65.100,2,72,83.759,0.303
"complete system",64.020,2,77,83.759,0.324
"export control",62.460,2,85,83.759,0.358
"custom software",62.050,2,87,83.759,0.366
"input file",61.690,2,89,83.759,0.375
"potential problem",60.410,2,96,83.759,0.404
"commercial development",60.030,2,98,83.759,0.412
"copyright notice",57.780,2,111,83.759,0.467
"software development",57.550,8,1150,335.036,4.839
"particular reason",57.460,2,113,83.759,0.476
"social system",55.870,2,123,83.759,0.518
"new hardware",52.260,2,148,83.759,0.623
"license agreement",50.940,2,158,83.759,0.665
"high price",48.820,3,379,125.639,1.595
"important way",48.710,2,176,83.759,0.741
"full use",48.130,2,181,83.759,0.762
"whole community",47.890,2,183,83.759,0.770
"public use",47.460,2,187,83.759,0.787
"worth avoiding",42.880,1,0,41.880,0.000
"program b",42.880,1,1,41.880,0.004
"porting gcc",42.880,1,0,41.880,0.000
"desktop kde",42.880,1,0,41.880,0.000
"community libreplanet",42.880,1,0,41.880,0.000
"free software community libreplanet",42.880,1,0,41.880,0.000
"software community libreplanet",42.880,1,0,41.880,0.000
"new pdp-10",42.880,1,0,41.880,0.000
"amount readline",42.880,1,0,41.880,0.000
"accessibility of source code",42.880,1,0,41.880,0.000
"much nonproductive activity",42.880,1,0,41.880,0.000
"nonproductive activity",42.880,1,0,41.880,0.000
"particular computing activity",42.880,1,0,41.880,0.000
"digital spying agency",42.880,1,0,41.880,0.000
"government digital spying agency",42.880,1,0,41.880,0.000
"spying agency",42.880,1,0,41.880,0.000
"same nondisclosure agreement",42.880,1,0,41.880,0.000
"lzw compression algorithm",42.880,1,0,41.880,0.000
"suitable aliasing",42.880,1,0,41.880,0.000
"area of software production",42.880,1,0,41.880,0.000
"compressed audio",42.880,1,0,41.880,0.000
"encouraging authorship",42.880,1,0,41.880,0.000
"body of free software",42.880,1,0,41.880,0.000
"sufficient body of free software",42.880,1,0,41.880,0.000
"security breaker",42.880,1,0,41.880,0.000
"custom software business",42.880,1,0,41.880,0.000
"specific widespread business",42.880,1,0,41.880,0.000
"tape distribution business",42.880,1,0,41.880,0.000
"computer buyer",42.880,1,0,41.880,0.000
"playful cleverness",42.880,1,0,41.880,0.000
"arbitrary nuisance code",42.880,1,0,41.880,0.000
"corresponding complete source code",42.880,1,0,41.880,0.000
"nuisance code",42.880,1,0,41.880,0.000
"real source code",42.880,1,0,41.880,0.000
"collection of free software",42.880,1,0,41.880,0.000
"substantial collection of free software",42.880,1,0,41.880,0.000
"commercialization of system software",42.880,1,0,41.880,0.000
"ordinary commonsense",42.880,1,0,41.880,0.000
"computer-using community",42.880,1,0,41.880,0.000
"cooperating community",42.880,1,0,41.880,0.000
"first software-sharing community",42.880,1,0,41.880,0.000
"new software-sharing community",42.880,1,0,41.880,0.000
"whole compiler",42.880,1,0,41.880,0.000
"major missing component",42.880,1,0,41.880,0.000
"particular computing",42.880,1,0,41.880,0.000
"sophisticated cooling",42.880,1,0,41.880,0.000
"organized cooperation",42.880,1,0,41.880,0.000
"copy of free software",42.880,1,0,41.880,0.000
"executable copy",42.880,1,0,41.880,0.000
"restricting copying",42.880,1,0,41.880,0.000
"effective copyleft",42.880,1,0,41.880,0.000
"assign copyright",42.880,1,0,41.880,0.000
"source-level debugger",42.880,1,0,41.880,0.000
"capability-based design",42.880,1,0,41.880,0.000
"similar desktop",42.880,1,0,41.880,0.000
"mutual destructiveness",42.880,1,0,41.880,0.000
"operating system developer",42.880,1,0,41.880,0.000
"commercial development of free software",42.880,1,0,41.880,0.000
"development of custom software",42.880,1,0,41.880,0.000
"terminal-independent display",42.880,1,0,41.880,0.000
"ftp distribution",42.880,1,0,41.880,0.000
"high distribution",42.880,1,0,41.880,0.000
"nonfree distribution",42.880,1,0,41.880,0.000
"tape distribution",42.880,1,0,41.880,0.000
"various nonfree distribution",42.880,1,0,41.880,0.000
"universal back door",42.880,1,0,41.880,0.000
"duplication of system programming",42.880,1,0,41.880,0.000
"duplication of system programming effort",42.880,1,0,41.880,0.000
"much wasteful duplication",42.880,1,0,41.880,0.000
"much wasteful duplication of system",42.880,1,0,41.880,0.000
"wasteful duplication of system programming",42.880,1,0,41.880,0.000
"writing editor",42.880,1,0,41.880,0.000
"civics education",42.880,1,0,41.880,0.000
"system programming effort",42.880,1,0,41.880,0.000
"nonfree encryption",42.880,1,0,41.880,0.000
"popular nonfree encryption",42.880,1,0,41.880,0.000
"other specific entity",42.880,1,0,41.880,0.000
"justifiable evil",42.880,1,0,41.880,0.000
"nontrivial export",42.880,1,0,41.880,0.000
"aliasing facility",42.880,1,0,41.880,0.000
"suitable aliasing facility",42.880,1,0,41.880,0.000
"high distribution fee",42.880,1,0,41.880,0.000
"imaginative fellow",42.880,1,0,41.880,0.000
"field of software today",42.880,1,0,41.880,0.000
"crashproof file",42.880,1,0,41.880,0.000
"whole output file",42.880,1,0,41.880,0.000
"mobile phone firmware",42.880,1,0,41.880,0.000
"form of real programming",42.880,1,0,41.880,0.000
"form of real programming work",42.880,1,0,41.880,0.000
"runnable form",42.880,1,0,41.880,0.000
"principal text formatter",42.880,1,0,41.880,0.000
"computer user freedom",42.880,1,0,41.880,0.000
"future of free software",42.880,1,0,41.880,0.000
"yacc-compatible parser generator",42.880,1,0,41.880,0.000
"entire gnu",42.880,1,0,41.880,0.000
"artificial government-imposed",42.880,1,0,41.880,0.000
"fellow hacker",42.880,1,0,41.880,0.000
"staff system hacker",42.880,1,0,41.880,0.000
"system hacker",42.880,1,0,41.880,0.000
"important happiness",42.880,1,0,41.880,0.000
"secret hardware",42.880,1,0,41.880,0.000
"secret hardware hardware",42.880,1,0,41.880,0.000
"previous imbalance",42.880,1,0,41.880,0.000
"injustice of nonfree software",42.880,1,0,41.880,0.000
"cvsweb interface",42.880,1,0,41.880,0.000
"coherent issue",42.880,1,0,41.880,0.000
"initial kernel",42.880,1,0,41.880,0.000
"unix-compatible kernel",42.880,1,0,41.880,0.000
"kind of computer system",42.880,1,0,41.880,0.000
"kind of free software business",42.880,1,0,41.880,0.000
"kind of overall job",42.880,1,0,41.880,0.000
"system-programming language",42.880,1,0,41.880,0.000
"compatible replacement library",42.880,1,0,41.880,0.000
"next tempting nonfree library",42.880,1,0,41.880,0.000
"replacement library",42.880,1,0,41.880,0.000
"tempting nonfree library",42.880,1,0,41.880,0.000
"toolkit library",42.880,1,0,41.880,0.000
"contract-based license",42.880,1,0,41.880,0.000
"copyright-based license",42.880,1,0,41.880,0.000
"existing free software license",42.880,1,0,41.880,0.000
"granting such license",42.880,1,0,41.880,0.000
"specific software license",42.880,1,0,41.880,0.000
"free software licensing",42.880,1,0,41.880,0.000
"general task list",42.880,1,0,41.880,0.000
"manner of distributing free software",42.880,1,0,41.880,0.000
"good free manual",42.880,1,0,41.880,0.000
"nonfree manual",42.880,1,0,41.880,0.000
"equal mention",42.880,1,0,41.880,0.000
"artificial government-imposed monopoly",42.880,1,0,41.880,0.000
"government-imposed monopoly",42.880,1,0,41.880,0.000
"commonsense morality",42.880,1,0,41.880,0.000
"ordinary commonsense morality",42.880,1,0,41.880,0.000
"problem motif",42.880,1,0,41.880,0.000
"need of sophisticated cooling",42.880,1,0,41.880,0.000
"same nondisclosure",42.880,1,0,41.880,0.000
"yacc-compatible parser",42.880,1,0,41.880,0.000
"effect part",42.880,1,0,41.880,0.000
"nonfree part",42.880,1,0,41.880,0.000
"traditional american pastime",42.880,1,0,41.880,0.000
"traditional american pastime of tinkering",42.880,1,0,41.880,0.000
"common naming pattern",42.880,1,0,41.880,0.000
"wanting pay",42.880,1,0,41.880,0.000
"available competent person",42.880,1,0,41.880,0.000
"free software philosophy",42.880,1,0,41.880,0.000
"software philosophy",42.880,1,0,41.880,0.000
"same bad place",42.880,1,0,41.880,0.000
"plenty of useful software",42.880,1,0,41.880,0.000
"popularity of free software",42.880,1,0,41.880,0.000
"sole position",42.880,1,0,41.880,0.000
"entity unjust power",42.880,1,0,41.880,0.000
"specific widespread business practice",42.880,1,0,41.880,0.000
"widespread business practice",42.880,1,0,41.880,0.000
"same government pressure",42.880,1,0,41.880,0.000
"empty pretense",42.880,1,0,41.880,0.000
"price of distribution service",42.880,1,0,41.880,0.000
"anyone program",42.880,1,0,41.880,0.000
"copylefted program",42.880,1,0,41.880,0.000
"kernel program",42.880,1,0,41.880,0.000
"tar program",42.880,1,0,41.880,0.000
"available programmer",42.880,1,0,41.880,0.000
"everyone stop programming",42.880,1,0,41.880,0.000
"stop programming",42.880,1,0,41.880,0.000
"desktop project",42.880,1,0,41.880,0.000
"proliferation of different free software",42.880,1,0,41.880,0.000
"supposed intellectual property",42.880,1,0,41.880,0.000
"proprietary publishing",42.880,1,0,41.880,0.000
"purpose of encouraging authorship",42.880,1,0,41.880,0.000
"including commercial redistribution",42.880,1,0,41.880,0.000
"only referee",42.880,1,0,41.880,0.000
"release of source code",42.880,1,0,41.880,0.000
"control requirement",42.880,1,0,41.880,0.000
"export control requirement",42.880,1,0,41.880,0.000
"unquestionable natural right",42.880,1,0,41.880,0.000
"acceptable rule",42.880,1,0,41.880,0.000
"including commercial sale",42.880,1,0,41.880,0.000
"anonymous ftp server",42.880,1,0,41.880,0.000
"new ftp server",42.880,1,0,41.880,0.000
"usual shell",42.880,1,0,41.880,0.000
"conscience sign",42.880,1,0,41.880,0.000
"good conscience sign",42.880,1,0,41.880,0.000
"ftp distribution site",42.880,1,0,41.880,0.000
"small memory size",42.880,1,0,41.880,0.000
"adding other free software",42.880,1,0,41.880,0.000
"asking individual free software",42.880,1,0,41.880,0.000
"bringing proprietary software",42.880,1,0,41.880,0.000
"commercial free software",42.880,1,0,41.880,0.000
"complete unix-compatible software",42.880,1,0,41.880,0.000
"copylefted software",42.880,1,0,41.880,0.000
"different free software",42.880,1,0,41.880,0.000
"good system software",42.880,1,0,41.880,0.000
"helping other free software",42.880,1,0,41.880,0.000
"individual free software",42.880,1,0,41.880,0.000
"kde software",42.880,1,0,41.880,0.000
"launching new free software",42.880,1,0,41.880,0.000
"much free software",42.880,1,0,41.880,0.000
"needed free software",42.880,1,0,41.880,0.000
"noncopylefted free software",42.880,1,0,41.880,0.000
"nonfree encryption software",42.880,1,0,41.880,0.000
"other available free software",42.880,1,0,41.880,0.000
"other useful software",42.880,1,0,41.880,0.000
"popular nonfree encryption software",42.880,1,0,41.880,0.000
"redistributing free software",42.880,1,0,41.880,0.000
"rejecting nonfree software",42.880,1,0,41.880,0.000
"secret software",42.880,1,0,41.880,0.000
"share software",42.880,1,0,41.880,0.000
"such free commercial software",42.880,1,0,41.880,0.000
"unix-compatible software",42.880,1,0,41.880,0.000
"using nonfree software",42.880,1,0,41.880,0.000
"value free software",42.880,1,0,41.880,0.000
"various other useful software",42.880,1,0,41.880,0.000
"writing needed free software",42.880,1,0,41.880,0.000
"first software-sharing",42.880,1,0,41.880,0.000
"new software-sharing",42.880,1,0,41.880,0.000
"corresponding complete source",42.880,1,0,41.880,0.000
"computational sovereignty",42.880,1,0,41.880,0.000
"broad spectrum of free software",42.880,1,0,41.880,0.000
"spectrum of free software",42.880,1,0,41.880,0.000
"building community spirit",42.880,1,0,41.880,0.000
"terminal-independent display support",42.880,1,0,41.880,0.000
"whole syntax",42.880,1,0,41.880,0.000
"complete free operating system",42.880,1,0,41.880,0.000
"complete unix-compatible software system",42.880,1,0,41.880,0.000
"crashproof file system",42.880,1,0,41.880,0.000
"lisp-based window system",42.880,1,0,41.880,0.000
"minimal working system",42.880,1,0,41.880,0.000
"nonfree timesharing system",42.880,1,0,41.880,0.000
"staff system",42.880,1,0,41.880,0.000
"timesharing operating system",42.880,1,0,41.880,0.000
"unix-compatible software system",42.880,1,0,41.880,0.000
"unix-compatible system",42.880,1,0,41.880,0.000
"perverse terminology",42.880,1,0,41.880,0.000
"nonfree timesharing",42.880,1,0,41.880,0.000
"hacker tradition",42.880,1,0,41.880,0.000
"whole syntax tree",42.880,1,0,41.880,0.000
"use of nonfree software",42.880,1,0,41.880,0.000
"proprietary modified version",42.880,1,0,41.880,0.000
"lisp-based window",42.880,1,0,41.880,0.000
"real programming work",42.880,1,0,41.880,0.000
"same interesting work",42.880,1,0,41.880,0.000
"postscarcity world",42.880,1,0,41.880,0.000
"proprietary software world",42.880,1,0,41.880,0.000
"world of free software",42.880,1,0,41.880,0.000
"computing activity",42.710,1,1,41.880,0.004
"ethical advantage",42.710,1,1,41.880,0.004
"amoral approach",42.710,1,1,41.880,0.004
"third assumption",42.710,1,1,41.880,0.004
"unstated assumption",42.710,1,1,41.880,0.004
"universal back",42.710,1,1,41.880,0.004
"air bill",42.710,1,1,41.880,0.004
"free software distribution business",42.710,1,1,41.880,0.004
"software distribution business",42.710,1,1,41.880,0.004
"nonfree code",42.710,1,1,41.880,0.004
"name completion",42.710,1,1,41.880,0.004
"asking computer",42.710,1,1,41.880,0.004
"restricting computer",42.710,1,1,41.880,0.004
"horrible confusion",42.710,1,1,41.880,0.004
"collective control",42.710,1,1,41.880,0.004
"government export control",42.710,1,1,41.880,0.004
"level debugger",42.710,1,1,41.880,0.004
"source level debugger",42.710,1,1,41.880,0.004
"sufficient determination",42.710,1,1,41.880,0.004
"wasteful duplication",42.710,1,1,41.880,0.004
"steadfast effort",42.710,1,1,41.880,0.004
"curious enough",42.710,1,1,41.880,0.004
"irresistible fascination",42.710,1,1,41.880,0.004
"phone firmware",42.710,1,1,41.880,0.004
"using freedom",42.710,1,1,41.880,0.004
"new ftp",42.710,1,1,41.880,0.004
"free gnu",42.710,1,1,41.880,0.004
"valid goal",42.710,1,1,41.880,0.004
"hardware hardware",42.710,1,1,41.880,0.004
"indirect harm",42.710,1,1,41.880,0.004
"getting income",42.710,1,1,41.880,0.004
"kind of free software",42.710,1,1,41.880,0.004
"export law",42.710,1,1,41.880,0.004
"proprietary library",42.710,1,1,41.880,0.004
"long task list",42.710,1,1,41.880,0.004
"freedom means",42.710,1,1,41.880,0.004
"common business model",42.710,1,1,41.880,0.004
"signing nondisclosure",42.710,1,1,41.880,0.004
"whole output",42.710,1,1,41.880,0.004
"proprietary software package",42.710,1,1,41.880,0.004
"advertising pay",42.710,1,1,41.880,0.004
"x percent",42.710,1,1,41.880,0.004
"everyone permission",42.710,1,1,41.880,0.004
"stopping piracy",42.710,1,1,41.880,0.004
"air plant",42.710,1,1,41.880,0.004
"self-defeating policy",42.710,1,1,41.880,0.004
"particular software program",42.710,1,1,41.880,0.004
"software proprietary",42.710,1,1,41.880,0.004
"usual purpose",42.710,1,1,41.880,0.004
"robot repair",42.710,1,1,41.880,0.004
"available free software",42.710,1,1,41.880,0.004
"existing free software",42.710,1,1,41.880,0.004
"free commercial software",42.710,1,1,41.880,0.004
"gnu software",42.710,1,1,41.880,0.004
"means software",42.710,1,1,41.880,0.004
"extensive statement",42.710,1,1,41.880,0.004
"everyone stop",42.710,1,1,41.880,0.004
"timesharing system",42.710,1,1,41.880,0.004
"general task",42.710,1,1,41.880,0.004
"software tax",42.710,1,1,41.880,0.004
"principal text",42.710,1,1,41.880,0.004
"extensive thought",42.710,1,1,41.880,0.004
"answering user",42.710,1,1,41.880,0.004
"proprietary version",42.710,1,1,41.880,0.004
"way of paying tribute",42.710,1,1,41.880,0.004
"legitimate activity",42.540,1,2,41.880,0.008
"widespread business",42.540,1,2,41.880,0.008
"license change",42.540,1,2,41.880,0.008
"distribution concept",42.540,1,2,41.880,0.008
"transferring copyright",42.540,1,2,41.880,0.008
"previous developer",42.540,1,2,41.880,0.008
"development of free software",42.540,1,2,41.880,0.008
"free software distribution",42.540,1,2,41.880,0.008
"limiting distribution",42.540,1,2,41.880,0.008
"practical effectiveness",42.540,1,2,41.880,0.008
"legal excuse",42.540,1,2,41.880,0.008
"user freedom",42.540,1,2,41.880,0.008
"value freedom",42.540,1,2,41.880,0.008
"assembler language",42.540,1,2,41.880,0.008
"existing module",42.540,1,2,41.880,0.008
"subsequent note",42.540,1,2,41.880,0.008
"available person",42.540,1,2,41.880,0.008
"new portable",42.540,1,2,41.880,0.008
"company power",42.540,1,2,41.880,0.008
"cheap publicity",42.540,1,2,41.880,0.008
"ethical reason",42.540,1,2,41.880,0.008
"export regulation",42.540,1,2,41.880,0.008
"firm response",42.540,1,2,41.880,0.008
"intrinsic right",42.540,1,2,41.880,0.008
"paradoxical situation",42.540,1,2,41.880,0.008
"harming society",42.540,1,2,41.880,0.008
"crucial software",42.540,1,2,41.880,0.008
"multiple target",42.540,1,2,41.880,0.008
"feasible task",42.540,1,2,41.880,0.008
"other wording",42.540,1,2,41.880,0.008
"fundamental act",42.370,1,3,41.880,0.013
"software license agreement",42.370,1,3,41.880,0.013
"secure boot",42.370,1,3,41.880,0.013
"tax-exempt charity",42.370,1,3,41.880,0.013
"lzw compression",42.370,1,3,41.880,0.013
"practical definition",42.370,1,3,41.880,0.013
"government export",42.370,1,3,41.880,0.013
"generic job",42.370,1,3,41.880,0.013
"new manual",42.370,1,3,41.880,0.013
"worldwide mission",42.370,1,3,41.880,0.013
"additional permission",42.370,1,3,41.880,0.013
"commercial redistribution",42.370,1,3,41.880,0.013
"license requirement",42.370,1,3,41.880,0.013
"public domain software",42.370,1,3,41.880,0.013
"usable software",42.370,1,3,41.880,0.013
"sufficient body",42.200,1,4,41.880,0.017
"narrow class",42.200,1,4,41.880,0.017
"system code",42.200,1,4,41.880,0.017
"spin-off company",42.200,1,4,41.880,0.017
"necessary contact",42.200,1,4,41.880,0.017
"other disadvantage",42.200,1,4,41.880,0.017
"bad education",42.200,1,4,41.880,0.017
"substantial job",42.200,1,4,41.880,0.017
"other licensing",42.200,1,4,41.880,0.017
"subjective matter",42.200,1,4,41.880,0.017
"actual productivity",42.200,1,4,41.880,0.017
"subsequent request",42.200,1,4,41.880,0.017
"domain software",42.200,1,4,41.880,0.017
"combined version",42.200,1,4,41.880,0.017
"email at",42.000,1,5,41.880,0.021
"crucial case",42.000,1,5,41.880,0.021
"system developer",42.000,1,5,41.880,0.021
"paradigmatic example",42.000,1,5,41.880,0.021
"anonymous ftp",42.000,1,5,41.880,0.021
"issue of intellectual property",42.000,1,5,41.880,0.021
"common naming",42.000,1,5,41.880,0.021
"naming pattern",42.000,1,5,41.880,0.021
"software production",42.000,1,5,41.880,0.021
"using free software",42.000,1,5,41.880,0.021
"stack space",42.000,1,5,41.880,0.021
"similar spirit",42.000,1,5,41.880,0.021
"proprietary operating system",42.000,1,5,41.880,0.021
"head tax",42.000,1,5,41.880,0.021
"different wording",42.000,1,5,41.880,0.021
"technical advantage",41.830,1,6,41.880,0.025
"complete source code",41.830,1,6,41.880,0.025
"substantial collection",41.830,1,6,41.880,0.025
"saving everyone",41.830,1,6,41.880,0.025
"such justification",41.830,1,6,41.880,0.025
"permissive license",41.830,1,6,41.880,0.025
"specific license",41.830,1,6,41.880,0.025
"wrong meaning",41.830,1,6,41.880,0.025
"extracting money",41.830,1,6,41.880,0.025
"complete operating system",41.830,1,6,41.880,0.025
"long task",41.830,1,6,41.880,0.025
"social advantage",41.670,1,7,41.880,0.029
"original announcement",41.670,1,7,41.880,0.029
"main developer",41.670,1,7,41.880,0.029
"programming effort",41.670,1,7,41.880,0.029
"specific entity",41.670,1,7,41.880,0.029
"real gain",41.670,1,7,41.880,0.029
"continuing goal",41.670,1,7,41.880,0.029
"copyleft license",41.670,1,7,41.880,0.029
"old license",41.670,1,7,41.880,0.029
"interesting program",41.670,1,7,41.880,0.029
"real programming",41.670,1,7,41.880,0.029
"crucial requirement",41.670,1,7,41.880,0.029
"patent suit",41.670,1,7,41.880,0.029
"display support",41.670,1,7,41.880,0.029
"programming work",41.670,1,7,41.880,0.029
"deliberate destruction",41.510,1,8,41.880,0.034
"substantial fee",41.510,1,8,41.880,0.034
"little harm",41.510,1,8,41.880,0.034
"special job",41.510,1,8,41.880,0.034
"source level",41.510,1,8,41.880,0.034
"including licensing",41.510,1,8,41.880,0.034
"american pastime",41.510,1,8,41.880,0.034
"blanket prohibition",41.510,1,8,41.880,0.034
"rare skill",41.510,1,8,41.880,0.034
"expensive business",41.350,1,9,41.880,0.038
"tremendous cost",41.350,1,9,41.880,0.038
"computer field",41.350,1,9,41.880,0.038
"distribution site",41.350,1,9,41.880,0.038
"copyright system",41.350,1,9,41.880,0.038
"system version",41.350,1,9,41.880,0.038
"sealed box",41.150,1,10,41.880,0.042
"defending freedom",41.150,1,10,41.880,0.042
"tight group",41.150,1,10,41.880,0.042
"command interpreter",41.150,1,10,41.880,0.042
"certain program",41.150,1,10,41.880,0.042
"total tax rate",41.150,1,10,41.880,0.042
"special situation",41.150,1,10,41.880,0.042
"doing real work",41.150,1,10,41.880,0.042
"hacker community",40.990,1,11,41.880,0.046
"individual control",40.990,1,11,41.880,0.046
"parser generator",40.990,1,11,41.880,0.046
"small memory",40.990,1,11,41.880,0.046
"government pressure",40.990,1,11,41.880,0.046
"substantial price",40.990,1,11,41.880,0.046
"only important thing",40.990,1,11,41.880,0.046
"dutch word",40.990,1,11,41.880,0.046
"useful application",40.840,1,12,41.880,0.050
"commercial distribution",40.840,1,12,41.880,0.050
"own distribution",40.840,1,12,41.880,0.050
"binary form",40.840,1,12,41.880,0.050
"different philosophy",40.840,1,12,41.880,0.050
"ideal system",40.680,1,13,41.880,0.055
"operating system software",40.530,1,14,41.880,0.059
"new basis",40.340,1,15,41.880,0.063
"moral equivalent",40.340,1,15,41.880,0.063
"proprietary system",40.340,1,15,41.880,0.063
"whole system",40.250,2,263,83.759,1.107
"various computer",40.190,1,16,41.880,0.067
"standard price",40.190,1,16,41.880,0.067
"complete replacement",40.190,1,16,41.880,0.067
"legal tradition",40.190,1,16,41.880,0.067
"ethical obligation",40.040,1,17,41.880,0.072
"free system",40.040,1,17,41.880,0.072
"software today",40.040,1,17,41.880,0.072
"productive activity",39.890,1,18,41.880,0.076
"implicit assumption",39.890,1,18,41.880,0.076
"writing documentation",39.890,1,18,41.880,0.076
"such license",39.890,1,18,41.880,0.076
"commercial sale",39.890,1,18,41.880,0.076
"memory size",39.890,1,18,41.880,0.076
"software distribution",39.740,1,19,41.880,0.080
"complete source",39.560,1,20,41.880,0.084
"specific implementation",39.410,1,21,41.880,0.088
"overall job",39.410,1,21,41.880,0.088
"practical reality",39.410,1,21,41.880,0.088
"particular software",39.410,1,21,41.880,0.088
"history section",39.270,1,22,41.880,0.093
"working system",39.270,1,22,41.880,0.093
"online documentation",38.980,1,24,41.880,0.101
"minor detail",38.800,1,25,41.880,0.105
"principal goal",38.800,1,25,41.880,0.105
"spanish word",38.660,1,26,41.880,0.109
"gas mask",38.390,1,28,41.880,0.118
"competent person",38.390,1,28,41.880,0.118
"only basis",38.220,1,29,41.880,0.122
"deliberate choice",38.220,1,29,41.880,0.122
"good citizen",38.220,1,29,41.880,0.122
"software licensing",38.220,1,29,41.880,0.122
"encryption software",38.220,1,29,41.880,0.122
"compression algorithm",38.080,1,30,41.880,0.126
"letting someone",38.080,1,30,41.880,0.126
"powerful software",37.950,1,31,41.880,0.130
"same government",37.810,1,32,41.880,0.135
"useful knowledge",37.810,1,32,41.880,0.135
"production use",37.810,1,32,41.880,0.135
"translation service",37.680,1,33,41.880,0.139
"specific software",37.680,1,33,41.880,0.139
"way of making money",37.680,1,33,41.880,0.139
"common business",37.510,1,34,41.880,0.143
"particular community",37.510,1,34,41.880,0.143
"other gear",37.380,1,35,41.880,0.147
"useful thing",37.250,1,36,41.880,0.151
